Item,Quantity,Purpose,Source,Link
3.7V Li-ion,1,Battery for the model,ELECTRONICSPICES,https://electronicspices.com/product/500mah-3-7v-single-cell-rechargeable-lipo-battery-hcy-602030?srsltid=AfmBOoqTC6x1rKnn0bb2ke8tkSn4KAXabdPohyxEFI4BUg2Qr3zDtDuZCMM
ESP32-S3-WROOM-1,1,MCU,DigiKey,https://www.digikey.in/en/products/detail/espressif-systems/ESP32-S3-WROOM-1-N8R8/15295891?gclsrc=aw.ds&gad_source=1&gad_campaignid=23449534225&gbraid=0AAAAADrbLliYFNjw1Br-m6vxoaeN90oMc&gclid=Cj0KCQjw2YDQBhD_ARIsAE1qeSc_0rRPRjIZHbQRyzdYCVD3CW8R1bNLrPB-kfXDgxMLY7P1VX27K5IaAjI_EALw_wcB
(Microphone)ICS-43434 I2S MEMS microphone,1,Audio,DigiKey,https://www.digikey.in/en/products/detail/adafruit-industries-llc/6049/25589349
MAX98357A I2S audio amplifier IC,1,Audio output,DigiKey,https://www.digikey.in/en/products/detail/analog-devices-inc-maxim-integrated/MAX98357AETE-T/4936122
TP4056-42-ESOP8 Li-ion charger IC ,1,Charging,EVELETA,https://evelta.com/tp4056x-42-esop8-lithium-ion-battery-management-1a-ic-sop-8-ep/?sku=129-TP4056X-42-ESOP8&srsltid=AfmBOoqXMM0bz1d7cAa7Aypm_pYTk9O7gonJZgCEwdSswtHWGhUP3Lvw8oY
CH340C USB to serial IC SOIC-16 ,1,USB to UART,SUNROM,https://www.sunrom.com/p/ch340g-soic16-usb-to-serial-ttl-uart-ic
AMS1117-3.3 SOT-223 voltage regulator,1,Voltage regulate ,ROBU.IN,https://robu.in/product/ams1117-3-3v-1a-sot-223-voltage-regulator-ic-pack-of-5-ics?gad_campaignid=17427802703&gbraid=0AAAAADvLFWc8KYA2P9rys69Cn8AIdljzz&gclid=Cj0KCQjw2YDQBhD_ARIsAE1qeSeuC1xLc6Y7MU5USoxbZbuBHowr4hy84MRWNCSvYcrFkTbUjNSirKQaAnurEALw_wcB&gad_source=1
USB-C receptacle,1,USB C PORT,DigiKey,https://www.digikey.in/en/products/detail/gct/USB4930-00-A/28722818
Connector 1x02,2,Connector,3dfindit,https://www.3dfindit.com/en/digitaltwin/pinheader1x02p100mmvertical?path=kicad%2Fconnector_pinheader_12e00mm2e3dshapes%2Fpinheader_1x02_p12e00mm_vertical.prj&mident=%7Bkicad%2Fconnector_pinheader_12e00mm2e3dshapes%2Fpinheader_1x02_p12e00mm_vertical.prj%7D%2C013+%7BLINEID%3D10%7D++%7BNB%3DConnector_PinHeader_1.00mm.3dshapes+-+PinHeader_1x02_P1.00mm_Vertical%7D%2C%7BNAME%3DPinHeader_1x02_P1.00mm_Vertical%7D%2C%7BINAME%3DPinHeader_1x02_P12e00mm_Vertical%7D%2C%7BSHA256%3DyPz21hvfVSM%2B6IoL7NT9evSje1NFEc4CziL2WmLyBpc%3D%7D%2C%7BSOURCEURL%3Dhttp%3A%2F%2Fwww.kicad-pcb.org%2F%7D
Speaker,1,Speaker,ELECTRONICSPICES,https://electronicspices.com/product/2-inch-4%CF%89-ohm-5w-metal-body-power-audio-woofer-speaker-round-shape?srsltid=AfmBOooJYz0cab2z5Tlw5GMW8rKz02mi58C3E02C_fLvpdRE1p5CVaIVNkY
LED,1,RGB LED,ELECTRONIFY INDIA,https://www.electronifyindia.com/products/2-pin-rgb-led-5mm-auto-flashing?variant=46643447890239&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoqivv4Y4pcbbP60X3OCshdEuX1n2h_BX8rLGUL499jvlXfQ9iQA29w
Type 1 resistor,2,Resistors,Quartz component,https://quartzcomponents.com/products/4-3k-ohm-4k3-1-smd-resistor-0805-pack-of-20-pieces-copy?variant=45761383268586&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20251762959&gbraid=0AAAAACPPFdMO1r8Q2D_C3jjjI_ndSV-ep&gclid=Cj0KCQjw_IXQBhCkARIsADqELbKV9_BK8IibUDjmx-optWRQ3PGYvHcjMxC1aL4SUUb3S1OtbUbb9mwaAgUCEALw_wcB
Type 2 resistors,2,Resistors,Quartz component,https://quartzcomponents.com/products/10k-ohm-103-5-smd-resistor-0805-pack-of-20-pieces?variant=43451349729514&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20251762959&gbraid=0AAAAACPPFdMO1r8Q2D_C3jjjI_ndSV-ep&gclid=Cj0KCQjw_IXQBhCkARIsADqELbIJter7I1vuhVhu3sWU6vehuXY6SF_n4SrVXMNvCnbgckI6AXMdsEsaAi4CEALw_wcB
